R&D Spend,Administration,Marketing Spend,State,Profit
165349.2,136897.8,471784.1,New York,192261.83
162597.7,151377.59,443898.53,California,191792.06
153441.51,101145.55,407934.54,Florida,191050.39
144372.41,118671.85,383199.62,New York,182901.99
142107.34,91391.77,366168.42,Florida,166187.94
131876.9,99814.71,362861.36,New York,156991.12
134615.46,147198.87,127716.82,California,156122.51
130298.13,145530.06,323876.68,Florida,155752.6
120542.52,148718.95,311613.29,New York,152211.77
123334.88,108679.17,304981.62,California,149759.96
101913.08,110594.11,229160.95,Florida,146121.95
100671.96,91790.61,249744.55,California,144259.4
93863.75,127320.38,249839.44,Florida,141585.52
91992.39,135495.07,252664.93,California,134307.35
119943.24,156547.42,256512.92,Florida,132602.65
114523.61,122616.84,261776.23,New York,129917.04
78013.11,121597.55,264346.06,California,126992.93
94657.16,145077.58,282574.31,New York,125370.37
91749.16,114175.79,294919.57,Florida,124266.9
86419.7,153514.11,0,New York,122776.86
76253.86,113867.3,298664.47,California,118474.03
78389.47,153773.43,299737.29,New York,111313.02
73994.56,122782.75,303319.26,Florida,110352.25
67532.53,105751.03,304768.73,Florida,108733.99
77044.01,99281.34,140574.81,New York,108552.04
64664.71,139553.16,137962.62,California,107404.34
75328.87,144135.98,134050.07,Florida,105733.54
72107.6,127864.55,353183.81,New York,105008.31
66051.52,182645.56,118148.2,Florida,103282.38
65605.48,153032.06,107138.38,New York,101004.64
61994.48,115641.28,91131.24,Florida,99937.59
61136.38,152701.92,88218.23,New York,97483.56
63408.86,129219.61,46085.25,California,97427.84
55493.95,103057.49,214634.81,Florida,96778.92
46426.07,157693.92,210797.67,California,96712.8
46014.02,85047.44,205517.64,New York,96479.51
28663.76,127056.21,201126.82,Florida,90708.19
44069.95,51283.14,197029.42,California,89949.14
20229.59,65947.93,185265.1,New York,81229.06
38558.51,82982.09,174999.3,California,81005.76
28754.33,118546.05,172795.67,California,78239.91
27892.92,84710.77,164470.71,Florida,77798.83
23640.93,96189.63,148001.11,California,71498.49
15505.73,127382.3,35534.17,New York,69758.98
22177.74,154806.14,28334.72,California,65200.33
1000.23,124153.04,1903.93,New York,64926.08
1315.46,115816.21,297114.46,Florida,49490.75
0,135426.92,56796.5,California,42559.73
542.05,51743.15,136548,New York,35673.41
28701,116983.8,236833.6,California,14681.4
5057.4,129799.1,167518,Califoria,74823
37606.8,67773.7,37645.5,Califoria,88124
38699.7,61526.4,262670.5,New York,64937
62906.9,87871,101300.5,Califoria,60136
13306.7,102854.5,182777.6,Califoria,94256
63261.4,81328.1,129809.9,Califoria,130837
24893.9,108992.7,194035.8,Califoria,70548
73262.4,59896.6,247996.8,Califoria,95047
37983.1,130042,122170.5,Florida,144263.7
36681.5,93072.5,221229.5,Califoria,65623
16453.3,72888.4,248926.2,New York,136391.9
45138.1,70013.5,60546.6,New York,146768.5
8058.1,121118.5,201530.5,Florida,122978.8
39553.5,142159.4,242929.7,New York,184376.1
14893.4,127126.8,247733.6,Florida,55345.6
42772.6,54227.6,183801.8,Califoria,184409.1
63218.4,139559.8,205400.9,Florida,157892.9
71245.5,121274,217684.7,Califoria,91010.5
24171.3,146601.3,178484.3,Califoria,80428
24620.7,149922.3,224474.3,Florida,123388.1
45318.4,102066.2,176882,New York,188536.6
13563.9,56058.9,295567.1,New York,84736.9
8193.8,147555.5,84973.4,Califoria,112295.1
75649.7,78451.1,207462.5,Florida,75653.7
23723.5,77112.5,120866.4,Califoria,166578.9
18765.6,120530.1,219562.2,Florida,121759.3
46126.7,141601.1,277106,Califoria,98443.1
24965.6,143124.9,72023.4,Florida,61998
8952.3,137273.2,238181.5,Califoria,60032
26425.5,65201.7,37032,Califoria,105745.1
21624.7,118094.3,294058.6,Florida,167334.3
40664.9,135682.6,219510.4,Califoria,66705.8
13623.3,146294.9,291543.8,New York,143691.1
43196.9,139717.2,151950.8,Florida,188574.7
54108.3,148030.7,256703.4,Califoria,66108.6
16381.6,129491.6,204867.5,Califoria,100709
24913.5,72083.5,268720.5,New York,179924.9
17561.8,123634.9,282683.6,New York,157526.7
5115.1,59542.6,169471.5,Florida,65945.5
36543.5,142023.7,115471.7,New York,150040.2
31220.7,137536.3,61772.5,Califoria,64810.5
79796.6,94060.3,275325.4,Califoria,53345
6856.7,120837,57181,New York,83431.2
34077.3,65729.3,161496.6,New York,119012
67919.6,95871,82860.3,New York,174423.3
48469,74389.4,170100.6,Califoria,130118.5
75457.9,110367,204214.5,New York,113951.6
54319,115457.3,120934,New York,148737.2
46131.1,96694.7,239198.9,New York,74155.9
48627.1,62516.4,178154.2,New York,78858.5
13373.6,75918.7,215876.9,Florida,108734.1
57737.6,125423.2,146982.2,New York,135577.6
25812.2,63008.6,163671.3,Florida,91632.1
14200.9,54896.6,252588.2,Florida,76984.9
5058.2,55568.2,131121.4,Califoria,56350
56318.1,126638.7,81729.8,Califoria,85154.3
66659.5,96311.1,103265.7,New York,61802.3
43735.4,123648.1,218940.6,Florida,153997.1
27611.8,61845.9,281871.4,New York,119107.2
76377.5,134434.5,145012.9,New York,184301.3
48155.5,122949.4,79422,Florida,189318.4
51114.4,98936,259129.1,New York,178805.7
48498,139823.1,105080.8,Califoria,152591.6
48210.6,75025.7,95169.4,Florida,69717.2
22528.4,106380.7,69128.9,Florida,190248.6
30012.5,127454.1,24188.1,Florida,127005.8
14603.7,137619.3,221354.1,Florida,92681.7
79339.2,120603.6,106667.9,New York,119592.3
55594.9,138090.9,212875.5,Califoria,62889.1
78807.4,110385.5,106693,Florida,148943.2
79959.8,117977.3,77941.1,Florida,99682.1
50302,118612.9,271375.2,Florida,169426.3
27842,75548,63814.9,New York,142725
24826.3,57512.9,221344.1,Califoria,115396.8
42421.7,54190.1,216362.6,Florida,62204.5
29477.3,61411,239622.3,Califoria,93365.8
43029.8,63069.5,157388.8,New York,89697.8
34048.1,146967.2,125363.1,New York,111050
64643,51603.1,64691.4,New York,64376.6
57658.2,76423.6,143584.3,Califoria,136214
54303.2,85122,120853.8,Florida,128638.2
22146.5,130722,207606.4,Califoria,57339.9
61016.3,74256.3,122131.8,Califoria,55318.5
31589.4,136998.3,150843.2,Califoria,197746.8
50505,135359.8,226662.7,New York,93058.8
65585.5,91659.8,225091.7,New York,170777.8
14631.3,50892.5,22556.4,Florida,147077.4
38568.9,132967,21125.3,Califoria,98858.3
65131.6,125047.4,114810.3,New York,198296.5
43632.8,105071.2,102680.3,Florida,94147.9
72918.6,137413.2,218790,New York,163236.2
46610,90726.2,71015.4,New York,193217.8
16496.3,120617,25963.4,Florida,143838.8
55856.2,147512.6,61143.4,Califoria,138420.7
30444.4,69790.3,196875.7,Florida,126313.4
22974.9,143173.6,247362,New York,98978.2
5033.6,84084.8,125298.6,Califoria,108087.5
33229.5,104155.3,41441.1,Califoria,163973.8
76653.8,114223.6,105962.6,Florida,57937.1
21594.6,103551.2,81435.4,Califoria,196626.2
73721.6,78158.3,222998.5,Florida,154211.3
21853,107662.9,250496.8,Florida,140477.5
70934.1,141522.8,241007.8,Califoria,99122.7
30701.2,112296.7,99453.4,Florida,96857.5
74487.5,136525.8,44430,New York,115738.7
30793.2,134047.7,33020,Florida,108734.8
36186.6,76540.9,83699.1,New York,60736.6
38193.4,83148.7,75527.3,Florida,79822.5
10037.5,143023.7,73270.7,New York,74269.2
52716,57123.4,65440.1,Califoria,97447.1
66324.2,98232.4,94179.7,Califoria,140098.1
6886.4,111982.8,209619.4,Califoria,176605.2
65172.6,145332.1,206949.7,Florida,144300.6
50781.8,56151.5,155134.6,Florida,50743.5
76861.3,104443.5,252559.4,New York,168860.9
43458.9,111234.3,40811.9,Florida,55469.9
52342.4,96151,246620.7,New York,77160.1
54978.8,97411.7,142871.2,Califoria,152334.2
62805.8,118948.3,38971.4,Florida,199746.7
9724,95999.1,146018.2,New York,105623.1
40028,141088.3,103335.8,New York,122759.5
60960.5,117368.1,246205.5,New York,178846.1
10028.8,50615.7,159699.4,Florida,53750.2
40243.4,84307.5,24234.5,New York,137465.4
7568,83291.5,281480,New York,115161.5
59435.5,87987.6,175622.3,Califoria,76520.1
29597.1,128430.2,261329.9,New York,74340.6
16247.5,115197.8,176742.2,Califoria,194896.4
54629.8,51589.4,35740.3,New York,157041.4
68781,76553.2,148755,Califoria,103897.2
61544,149416.7,65844.5,New York,88105.8
77385,128371.5,204008.1,Califoria,100713.1
72401.5,136634.1,171268.7,New York,92809.2
58419.4,75772.2,299853.1,Florida,122203.4
72865.5,125869.5,168517,Califoria,75456.7
58039.9,65372.1,61009.5,New York,107639
22602.5,60849.6,185475.1,Florida,62716.4
19754.4,143717.9,278263.7,New York,64942
45767.6,106334.1,93640.6,Califoria,105286.8
67591.2,137032.9,98017.9,Califoria,101651.2
31428.2,145867.9,216428.8,New York,88518.6
14807.7,103400.9,136263.3,Califoria,84742.1
18590.3,93571.1,226484.2,New York,68043.3
26085.5,59350.1,82994.6,Florida,114404.9
17153.3,142439,59764.8,New York,149921.3
37774.3,92174.3,124121.1,New York,135187.2
55158.4,62791.3,186435.4,Florida,185465.5
77093.3,132412.3,142702.5,New York,130051
6739.5,131736.5,125633.5,Florida,159162.1
60406.6,136146.3,63387.3,New York,180751.9
68907.2,80330.9,247931.6,Califoria,128611.3
31708.7,107553.9,245881.2,Califoria,149666.6
37841,115450.6,296000.6,Florida,105325.8
59102.4,116845.5,143820.8,Florida,161693
23996.5,141386.3,64910,New York,62229.4
64797.3,90013.6,71533.1,Califoria,123269.6
11749.1,105175.8,257803.7,Florida,153205.7
22063.3,57404.6,59711.9,Califoria,197096.4
33958.3,129017.9,247422.5,Florida,56642.7
47055.7,63054.3,175668.8,New York,132322
15066.3,99131.6,180714.5,Califoria,82871.5
78774.1,142482.7,163634.9,New York,50578.1
47537.7,65085.3,276261.9,Florida,169829.5
73264.1,57695.3,251648,Califoria,127938.2
60084.5,141554.8,35872.8,New York,169251.1
15706.7,51873.9,230045.9,Florida,162547
13738.3,86803.9,226023.2,New York,94003.9
9806.3,57812.9,158951,Califoria,158686
32227.1,96304.3,45845.8,New York,70289.9
53430.8,139113,179983.2,New York,131392.6
34165.1,113562.2,163446.3,Florida,145379.7
12763.1,78270.8,273179.6,Califoria,110523.3
12274.2,82957.5,49038.4,Califoria,187972.7
19729.9,138497.6,236325.7,Califoria,88817.9
23145.4,88673.2,192146.7,Califoria,61127.3
18666.3,146290,291349,Florida,137978.8
29284.3,106725.4,290880,Califoria,167455
41602.2,70179.7,122793.7,Califoria,164846.1
75923.5,99970,115610.4,New York,81245
62970.8,87127.6,252023.1,Califoria,193378
64724.4,67162.7,161131,Florida,166908.6
74315.9,59530.8,62381.7,Florida,134094.9
35371.3,131689.5,156485.9,Califoria,122135.3
32846.1,74449.8,90306.3,Florida,177199.4
59317.3,76902.1,136035.5,Florida,171757.6
6514.9,69079.7,221757.6,New York,130683.3
57587.3,136967.6,251730.3,New York,66574.8
45265.2,77040,258889.8,Florida,124644.9
73373.9,124644.2,150961.5,Florida,168872.5
73001.9,134251.7,246066.7,Florida,84032.8
66481.5,143975.4,56242.1,Florida,113167.3
53159.9,84488.7,229410.2,New York,138351.3
52306.2,56081.4,243044.9,Califoria,141188
15178.6,110564.7,268266.4,Florida,149029.2
24202.1,120867,143223.4,New York,176775.1
16400,135843.7,268126.5,Califoria,84776.1
56098.9,131674.3,246337.6,Califoria,198238
77813,135950.2,197918,Florida,147405.2
69493.5,60936.5,162423.1,Florida,179478.4
75835.5,112525,105077.4,Califoria,179808.4
76948.6,89096.9,234580.8,New York,66763
55694.2,92210.7,154939.1,Florida,121670.9
26618.6,50292.8,138936,Florida,173006
10160.1,124824.8,114402.8,Florida,159476.9
67070.8,58116.5,120140.5,New York,77402.1
58152.2,81353.9,244930.2,Florida,81903
57277,78702.4,288949.2,Califoria,52263.1
18958.7,102928.9,246053.1,Florida,142719.4
55547.6,135277.9,197150.3,New York,155064.4
28421.7,113039.4,186796,Florida,159963.7
71581.1,111088.1,176994.8,Califoria,54952.2
5478.8,109347.5,26590.7,New York,52366
58327.2,70062.2,119358.7,Florida,152579.2
79549.3,134263.3,256212.5,Florida,87352.2
69052.3,128669.9,158733.4,New York,138810.5
34006.9,98171.2,194698.4,Califoria,199804.4
37983.7,115448.6,172512.3,Florida,89735.1
